ACCOUNT_NO.,ACCOUNT_NAME,SCHEME_TYPE,CLS_BALANCE,AMOUNT,INT_RATE,ACCT_OPEN_DATE  OPEN_EFFECTIVE_DATE,MATURITY_DATE,CRNCY,USD_AMOUNT
50017150000259,STERLING BANK PLC - DOM (USD),ODA,"646,967.96",-646967.96,0.01,7/1/2008,2022-07-14,USD,-646967.96
50017150000408,POLARIS BANK PLC,ODA,"281,065.89",-281065.89,0.01,7/1/2008,2022-07-14,USD,-281065.89
50017150001267,ACCESS BANK NIG. PLC A/C 2,ODA,"3,019,603.12",-3019603.12,0,7/1/2008,2022-07-14,USD,-3019603.12
50017150001755,WEMA BANK PLC.,ODA,"157,409.21",-157409.21,0,9/28/2011,2022-07-14,USD,-157409.21
50017150002141,OANDO TRADING DMCC,ODA,"30,383.18",-30383.18,0.01,7/3/2017,2022-07-14,USD,-30383.18
50017150002189,CORONATION MERCHANT BANK,ODA,"148,067.82",-148067.82,0,10/30/2017,2022-07-14,USD,-148067.82
50017150002271,NOVA MERCHANT BANK - USD MAIN,ODA,"26,503.19",-26503.19,0.11,2/26/2018,2022-07-14,USD,-26503.19
50017150002301,NOVA MERCHANT BANK,ODA,"5,206,095.15",-5206095.15,0.3,3/9/2018,2022-07-14,EUR,-5182147.11231
50017150002318,NOVA MERCHANT BANK,ODA,"4,727.48",-4727.48,0.3,3/9/2018,2022-07-14,GBP,-3974.3924359999996
50017150002363,NOVA MERCHANT BANK - INT ACC,ODA,"4,480.46",-4480.46,0.11,3/29/2018,2022-07-14,USD,-4480.46
50017150002417,NOVA MERCHANT BANK - EXPORT PR,ODA,"607,253.42",-607253.42,0.11,3/30/2018,2022-07-14,USD,-607253.42
50017150002424,NOVA MERCHANT BANK - EUR MAIN,ODA,"2,213.90",-2213.9,0.3,4/12/2018,2022-07-14,EUR,-2203.71606
50017150002431,NOVA MERCHANT BANK - GBP MAIN,ODA,302.3,-302.3,0.3,4/12/2018,2022-07-14,GBP,-254.14361000000002
50017150002448,NOVA MERCHANT BANK - USD DOM A,ODA,"1,349,961.17",-1349961.17,0.11,4/12/2018,2022-07-14,USD,-1349961.17
50017150002455,FBNQUEST MECHANT BANK LIMITED,ODA,"455,984.03",-455984.03,0,5/22/2018,2022-07-14,USD,-455984.03
